nRegistro,fechaRegistro,temperaturaC,tempAmb,humedadPorc,humedadSuelo,fecha,hora
169,2022-08-23 10:57:59,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:57:59
170,2022-08-23 10:58:59,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:58:59
171,2022-08-23 10:59:59,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:59:59
172,2022-08-23 11:00:59,17.0,13.0,84.0,62.14689265536723,2022-08-23,11:00:59
173,2022-08-23 11:02:00,18.0,13.0,85.0,62.14689265536723,2022-08-23,11:02:00
174,2022-08-23 11:03:00,18.0,13.0,84.0,62.14689265536723,2022-08-23,11:03:00
175,2022-08-23 11:04:00,18.0,13.0,83.0,62.14689265536723,2022-08-23,11:04:00
176,2022-08-23 11:05:00,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:05:00
177,2022-08-23 11:06:00,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:06:00
178,2022-08-23 11:07:00,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:07:00
179,2022-08-23 11:08:01,18.0,14.0,82.0,62.14689265536723,2022-08-23,11:08:01
180,2022-08-23 11:09:01,18.0,13.0,81.0,62.14689265536723,2022-08-23,11:09:01
181,2022-08-23 11:10:01,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:10:01
182,2022-08-23 11:11:01,18.0,13.0,81.0,62.14689265536723,2022-08-23,11:11:01
183,2022-08-23 11:12:01,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:12:01
184,2022-08-23 11:13:01,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:13:01
185,2022-08-23 11:14:02,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:14:02
186,2022-08-23 11:15:04,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:15:04
187,2022-08-23 11:15:27,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:15:27
188,2022-08-23 11:16:26,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:16:26
189,2022-08-23 11:21:30,18.0,14.0,81.0,62.14689265536723,2022-08-23,11:21:30
190,2022-08-23 11:26:33,18.0,13.0,81.0,62.14689265536723,2022-08-23,11:26:33
191,2022-08-23 11:31:34,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:31:34
192,2022-08-23 11:36:35,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:36:35
193,2022-08-23 11:41:36,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:41:36
194,2022-08-23 11:46:37,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:46:37
195,2022-08-23 11:51:38,18.0,13.0,82.0,62.14689265536723,2022-08-23,11:51:38
196,2022-08-23 11:56:39,20.0,15.0,77.0,62.14689265536723,2022-08-23,11:56:39
197,2022-08-23 12:01:39,22.0,17.0,68.0,62.14689265536723,2022-08-23,12:01:39
198,2022-08-23 12:06:57,22.0,17.0,69.0,62.14689265536723,2022-08-23,12:06:57
